QP/JOB ROLE NAME,EMBEDDING_PATH
Analyst-Chemist-Quality Control- High-Performance Liquid Chromatography (HPLC),./utils/embeddings/PMKVY_JobRoles/data/Analyst-Chemist-Quality Control- High-Performance Liquid Chromatography (HPLC).pt
Animal Waste Manure Aggregator,./utils/embeddings/PMKVY_JobRoles/data/Animal Waste Manure Aggregator.pt
Animator,./utils/embeddings/PMKVY_JobRoles/data/Animator.pt
Application Architect - Web & Mobile,./utils/embeddings/PMKVY_JobRoles/data/Application Architect - Web & Mobile.pt
Application Developer - Web & Mobile,./utils/embeddings/PMKVY_JobRoles/data/Application Developer - Web & Mobile.pt
Applique Artisan,./utils/embeddings/PMKVY_JobRoles/data/Applique Artisan.pt
Aquaculture Worker,./utils/embeddings/PMKVY_JobRoles/data/Aquaculture Worker.pt
AR-VR Architect,./utils/embeddings/PMKVY_JobRoles/data/AR-VR Architect.pt
AR-VR Consultant,./utils/embeddings/PMKVY_JobRoles/data/AR-VR Consultant.pt
AR-VR Developer,./utils/embeddings/PMKVY_JobRoles/data/AR-VR Developer.pt
AR-VR Infrastructure Engineer,./utils/embeddings/PMKVY_JobRoles/data/AR-VR Infrastructure Engineer.pt
AR-VR Researcher,./utils/embeddings/PMKVY_JobRoles/data/AR-VR Researcher.pt
AR-VR Support Analyst,./utils/embeddings/PMKVY_JobRoles/data/AR-VR Support Analyst.pt
AR-VR Test Engineer,./utils/embeddings/PMKVY_JobRoles/data/AR-VR Test Engineer.pt
Archival Conservator,./utils/embeddings/PMKVY_JobRoles/data/Archival Conservator.pt
ARVR Designer,./utils/embeddings/PMKVY_JobRoles/data/ARVR Designer.pt
Assembling & Curing Operator-Footwear & Sports Good,./utils/embeddings/PMKVY_JobRoles/data/Assembling & Curing Operator-Footwear & Sports Good.pt
Assembly Line Operator,./utils/embeddings/PMKVY_JobRoles/data/Assembly Line Operator.pt
Assembly Operator-RAC,./utils/embeddings/PMKVY_JobRoles/data/Assembly Operator-RAC.pt
Assembly Operator-TV,./utils/embeddings/PMKVY_JobRoles/data/Assembly Operator-TV.pt
Assistant -  Packaging & Marking Operation,./utils/embeddings/PMKVY_JobRoles/data/Assistant -  Packaging & Marking Operation.pt
Assistant - Machinist - Iron And Steel,./utils/embeddings/PMKVY_JobRoles/data/Assistant - Machinist - Iron And Steel.pt
Assistant Bar Bender and Steel Fixer,./utils/embeddings/PMKVY_JobRoles/data/Assistant Bar Bender and Steel Fixer.pt
Assistant Beauty & Wellness Consultant,./utils/embeddings/PMKVY_JobRoles/data/Assistant Beauty & Wellness Consultant.pt
Assistant Cameraman,./utils/embeddings/PMKVY_JobRoles/data/Assistant Cameraman.pt
Assistant Carpenter,./utils/embeddings/PMKVY_JobRoles/data/Assistant Carpenter.pt
Assistant Construction Fitter,./utils/embeddings/PMKVY_JobRoles/data/Assistant Construction Fitter.pt
Assistant Construction Painter & Decorator,./utils/embeddings/PMKVY_JobRoles/data/Assistant Construction Painter & Decorator.pt
Assistant Cotton Grader (Ginning),./utils/embeddings/PMKVY_JobRoles/data/Assistant Cotton Grader (Ginning).pt
Assistant Design Maker - Textiles,./utils/embeddings/PMKVY_JobRoles/data/Assistant Design Maker - Textiles.pt
Assistant Electrician,./utils/embeddings/PMKVY_JobRoles/data/Assistant Electrician.pt
Assistant Electricity Meter Reader Billing & Cash Collector,./utils/embeddings/PMKVY_JobRoles/data/Assistant Electricity Meter Reader Billing & Cash Collector.pt
Assistant Electronic Mechanic,./utils/embeddings/PMKVY_JobRoles/data/Assistant Electronic Mechanic.pt
Assistant False Ceiling and Drywall Installer,./utils/embeddings/PMKVY_JobRoles/data/Assistant False Ceiling and Drywall Installer.pt
Assistant Ginning Fitter,./utils/embeddings/PMKVY_JobRoles/data/Assistant Ginning Fitter.pt
Assistant Installation Computing And Peripherals,./utils/embeddings/PMKVY_JobRoles/data/Assistant Installation Computing And Peripherals.pt
Assistant Interior Designer- Commercial,./utils/embeddings/PMKVY_JobRoles/data/Assistant Interior Designer- Commercial.pt
"Assistant Interior Designer- Residence, Kitchen","./utils/embeddings/PMKVY_JobRoles/data/Assistant Interior Designer- Residence, Kitchen.pt"
Assistant Machine Operator - Injection Moulding Plastic,./utils/embeddings/PMKVY_JobRoles/data/Assistant Machine Operator - Injection Moulding Plastic.pt
Assistant Machine Operator - Stretch Blow Moulding Plastic,./utils/embeddings/PMKVY_JobRoles/data/Assistant Machine Operator - Stretch Blow Moulding Plastic.pt
Assistant Manual Metal Arc Welding- Shielded Metal Arc Welding Welder,./utils/embeddings/PMKVY_JobRoles/data/Assistant Manual Metal Arc Welding- Shielded Metal Arc Welding Welder.pt
Assistant Mason,./utils/embeddings/PMKVY_JobRoles/data/Assistant Mason.pt
Assistant Mechanic -  Instrumentation,./utils/embeddings/PMKVY_JobRoles/data/Assistant Mechanic -  Instrumentation.pt
Assistant Nail Technician,./utils/embeddings/PMKVY_JobRoles/data/Assistant Nail Technician.pt
Assistant Operator - Plastic Waste Recycling and Processing,./utils/embeddings/PMKVY_JobRoles/data/Assistant Operator - Plastic Waste Recycling and Processing.pt
Assistant Operator - Printing and Packaging,./utils/embeddings/PMKVY_JobRoles/data/Assistant Operator - Printing and Packaging.pt
Assistant Operator - Tyre Balancing,./utils/embeddings/PMKVY_JobRoles/data/Assistant Operator - Tyre Balancing.pt
Assistant Operator- Material Handling and Storage,./utils/embeddings/PMKVY_JobRoles/data/Assistant Operator- Material Handling and Storage.pt
Assistant Operator- Plastic 3D Printing,./utils/embeddings/PMKVY_JobRoles/data/Assistant Operator- Plastic 3D Printing.pt
Assistant Operator- Plastic Extrusion Machine,./utils/embeddings/PMKVY_JobRoles/data/Assistant Operator- Plastic Extrusion Machine.pt
Assistant Plumber - General,./utils/embeddings/PMKVY_JobRoles/data/Assistant Plumber - General.pt
Assistant Rigger - Heavy Material,./utils/embeddings/PMKVY_JobRoles/data/Assistant Rigger - Heavy Material.pt
Assistant Scaffolder - System,./utils/embeddings/PMKVY_JobRoles/data/Assistant Scaffolder - System.pt
Assistant Shuttering Carpenter,./utils/embeddings/PMKVY_JobRoles/data/Assistant Shuttering Carpenter.pt
Assistant Spa Therapist,./utils/embeddings/PMKVY_JobRoles/data/Assistant Spa Therapist.pt
Assistant Surveyor,./utils/embeddings/PMKVY_JobRoles/data/Assistant Surveyor.pt
Assistant Technician-Street Light Installation and Maintenance,./utils/embeddings/PMKVY_JobRoles/data/Assistant Technician-Street Light Installation and Maintenance.pt
Assistant Yoga Instructor,./utils/embeddings/PMKVY_JobRoles/data/Assistant Yoga Instructor.pt
"Assistant- Maintenance (Pharma, Biologics and Medical Device Facility)- Mechanical and Fitting","./utils/embeddings/PMKVY_JobRoles/data/Assistant- Maintenance (Pharma, Biologics and Medical Device Facility)- Mechanical and Fitting.pt"
"Assistant- Manufacturing and Packaging (Pharma, Biologics and Medical device)","./utils/embeddings/PMKVY_JobRoles/data/Assistant- Manufacturing and Packaging (Pharma, Biologics and Medical device).pt"
"Assistant- Manufacturing and Packaging - Pharma, Biologics and Medical Devices","./utils/embeddings/PMKVY_JobRoles/data/Assistant- Manufacturing and Packaging - Pharma, Biologics and Medical Devices.pt"
"Assistant- Secondary & Tertiary Packaging (Pharma, Biologics and Medical device)","./utils/embeddings/PMKVY_JobRoles/data/Assistant- Secondary & Tertiary Packaging (Pharma, Biologics and Medical device).pt"
Assistant-Mine Surveyor,./utils/embeddings/PMKVY_JobRoles/data/Assistant-Mine Surveyor.pt
Associate Customer Care (Voice & Non-Voice),./utils/embeddings/PMKVY_JobRoles/data/Associate Customer Care (Voice & Non-Voice).pt
Associate Designer die and mould for plastic including toys,./utils/embeddings/PMKVY_JobRoles/data/Associate Designer die and mould for plastic including toys.pt
Associate- Regulatory Affairs and Intellectual Property (IVD and Medical Devices),./utils/embeddings/PMKVY_JobRoles/data/Associate- Regulatory Affairs and Intellectual Property (IVD and Medical Devices).pt
Associate- Store (Pharma- Bio Pharma - Medical Devices) - Retail Pharmacy operations,./utils/embeddings/PMKVY_JobRoles/data/Associate- Store (Pharma- Bio Pharma - Medical Devices) - Retail Pharmacy operations.pt
Associate- Store (Pharma- Bio Pharma - Medical Devices),./utils/embeddings/PMKVY_JobRoles/data/Associate- Store (Pharma- Bio Pharma - Medical Devices).pt
Asst. Electrician,./utils/embeddings/PMKVY_JobRoles/data/Asst. Electrician.pt
"Asst. Fitter - Levelling, Alignment & Balancing","./utils/embeddings/PMKVY_JobRoles/data/Asst. Fitter - Levelling, Alignment & Balancing.pt"
Asst. Mechanic - Bearing Maintenance,./utils/embeddings/PMKVY_JobRoles/data/Asst. Mechanic - Bearing Maintenance.pt
"Attendant Sub-Station (66-11, 33-11 KV) - Power Distribution","./utils/embeddings/PMKVY_JobRoles/data/Attendant Sub-Station (66-11, 33-11 KV) - Power Distribution.pt"
Autoconer Tenter,./utils/embeddings/PMKVY_JobRoles/data/Autoconer Tenter.pt
Automotive Additive Manufacturing Engineer,./utils/embeddings/PMKVY_JobRoles/data/Automotive Additive Manufacturing Engineer.pt
Automotive Additive Manufacturing Operator,./utils/embeddings/PMKVY_JobRoles/data/Automotive Additive Manufacturing Operator.pt
Automotive Additive Manufacturing Technician,./utils/embeddings/PMKVY_JobRoles/data/Automotive Additive Manufacturing Technician.pt
Automotive Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Automotive Assembly Operator.pt
Automotive Assembly Technician,./utils/embeddings/PMKVY_JobRoles/data/Automotive Assembly Technician.pt
Automotive Automation and Robotics Engineer,./utils/embeddings/PMKVY_JobRoles/data/Automotive Automation and Robotics Engineer.pt
Automotive CNC Machining Technician,./utils/embeddings/PMKVY_JobRoles/data/Automotive CNC Machining Technician.pt
Automotive IIOT Application Engineer,./utils/embeddings/PMKVY_JobRoles/data/Automotive IIOT Application Engineer.pt
Automotive IIOT Application Technician,./utils/embeddings/PMKVY_JobRoles/data/Automotive IIOT Application Technician.pt
Automotive Machining Assistant,./utils/embeddings/PMKVY_JobRoles/data/Automotive Machining Assistant.pt
Automotive Machining Operator,./utils/embeddings/PMKVY_JobRoles/data/Automotive Machining Operator.pt
Automotive Sales Executive,./utils/embeddings/PMKVY_JobRoles/data/Automotive Sales Executive.pt
Automotive Showroom Host,./utils/embeddings/PMKVY_JobRoles/data/Automotive Showroom Host.pt
Automotive Telecaller,./utils/embeddings/PMKVY_JobRoles/data/Automotive Telecaller.pt
Automotive Washer,./utils/embeddings/PMKVY_JobRoles/data/Automotive Washer.pt
Automotive Welding Machine Operator (Manual and Robotics),./utils/embeddings/PMKVY_JobRoles/data/Automotive Welding Machine Operator (Manual and Robotics).pt
Ayurveda Ahar and Poshan Sahyaka,./utils/embeddings/PMKVY_JobRoles/data/Ayurveda Ahar and Poshan Sahyaka.pt
Ayurveda Dietician,./utils/embeddings/PMKVY_JobRoles/data/Ayurveda Dietician.pt
Ayurveda Masseur,./utils/embeddings/PMKVY_JobRoles/data/Ayurveda Masseur.pt
Backhoe Loader Operator,./utils/embeddings/PMKVY_JobRoles/data/Backhoe Loader Operator.pt
Baking Techncian-Operative,./utils/embeddings/PMKVY_JobRoles/data/Baking Techncian-Operative.pt
Bale Press Operator,./utils/embeddings/PMKVY_JobRoles/data/Bale Press Operator.pt
Bamboo Grower,./utils/embeddings/PMKVY_JobRoles/data/Bamboo Grower.pt
Bamboo Work Artisan,./utils/embeddings/PMKVY_JobRoles/data/Bamboo Work Artisan.pt
Bar Bender and Steel fixer,./utils/embeddings/PMKVY_JobRoles/data/Bar Bender and Steel fixer.pt
Basic Scaffold Inspector,./utils/embeddings/PMKVY_JobRoles/data/Basic Scaffold Inspector.pt
Basics of Clinical Data Management,./utils/embeddings/PMKVY_JobRoles/data/Basics of Clinical Data Management.pt
Batching Plant Operator,./utils/embeddings/PMKVY_JobRoles/data/Batching Plant Operator.pt
Battery System Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Battery System Assembly Operator.pt
Battery System Design Engineer,./utils/embeddings/PMKVY_JobRoles/data/Battery System Design Engineer.pt
Battery System Repair Technician,./utils/embeddings/PMKVY_JobRoles/data/Battery System Repair Technician.pt
Bead Extrusion and Assembly Operator,./utils/embeddings/PMKVY_JobRoles/data/Bead Extrusion and Assembly Operator.pt
Beam Carrier - Loader,./utils/embeddings/PMKVY_JobRoles/data/Beam Carrier - Loader.pt
Beauty Therapist,./utils/embeddings/PMKVY_JobRoles/data/Beauty Therapist.pt
Beekeeper,./utils/embeddings/PMKVY_JobRoles/data/Beekeeper.pt
Bicycle Mechanic,./utils/embeddings/PMKVY_JobRoles/data/Bicycle Mechanic.pt
Bioinformatics Associate- Analyst,./utils/embeddings/PMKVY_JobRoles/data/Bioinformatics Associate- Analyst.pt
Bioinformatics Scientist,./utils/embeddings/PMKVY_JobRoles/data/Bioinformatics Scientist.pt
Biologist- Biotechnologist,./utils/embeddings/PMKVY_JobRoles/data/Biologist- Biotechnologist.pt
Biomass Depot Operator,./utils/embeddings/PMKVY_JobRoles/data/Biomass Depot Operator.pt
Blockchain App Developer,./utils/embeddings/PMKVY_JobRoles/data/Blockchain App Developer.pt
Blockchain Architect,./utils/embeddings/PMKVY_JobRoles/data/Blockchain Architect.pt
Blockchain Security Engineer,./utils/embeddings/PMKVY_JobRoles/data/Blockchain Security Engineer.pt
Blockchain Strategist,./utils/embeddings/PMKVY_JobRoles/data/Blockchain Strategist.pt
Blockchain Support Analyst,./utils/embeddings/PMKVY_JobRoles/data/Blockchain Support Analyst.pt
Blockchain Test Engineer,./utils/embeddings/PMKVY_JobRoles/data/Blockchain Test Engineer.pt
Blowroom Operator,./utils/embeddings/PMKVY_JobRoles/data/Blowroom Operator.pt
Bottom Polisher - Diamond Processing,./utils/embeddings/PMKVY_JobRoles/data/Bottom Polisher - Diamond Processing.pt
Brackishwater Aquaculture Farmer- Crab,./utils/embeddings/PMKVY_JobRoles/data/Brackishwater Aquaculture Farmer- Crab.pt
Brackishwater Aquaculture Farmer- Finfish,./utils/embeddings/PMKVY_JobRoles/data/Brackishwater Aquaculture Farmer- Finfish.pt
Brackishwater Aquaculture Farmer,./utils/embeddings/PMKVY_JobRoles/data/Brackishwater Aquaculture Farmer.pt
Brick Mason,./utils/embeddings/PMKVY_JobRoles/data/Brick Mason.pt
"Bridal, Fashion & Portfolio Makeup Artist","./utils/embeddings/PMKVY_JobRoles/data/Bridal, Fashion & Portfolio Makeup Artist.pt"
Broadbnd Technician,./utils/embeddings/PMKVY_JobRoles/data/Broadbnd Technician.pt
Building Automation Specialist,./utils/embeddings/PMKVY_JobRoles/data/Building Automation Specialist.pt
Building Management System Project Manager,./utils/embeddings/PMKVY_JobRoles/data/Building Management System Project Manager.pt
Building Operator- Hoses,./utils/embeddings/PMKVY_JobRoles/data/Building Operator- Hoses.pt
Bulk Milk Cooler (BMC) Operator,./utils/embeddings/PMKVY_JobRoles/data/Bulk Milk Cooler (BMC) Operator.pt
Bulldozer Operator,./utils/embeddings/PMKVY_JobRoles/data/Bulldozer Operator.pt
Business Correspondent-Facilitator,./utils/embeddings/PMKVY_JobRoles/data/Business Correspondent-Facilitator.pt
Butter and Ghee Processing Operator,./utils/embeddings/PMKVY_JobRoles/data/Butter and Ghee Processing Operator.pt
Cabling Technician,./utils/embeddings/PMKVY_JobRoles/data/Cabling Technician.pt
CAD- CAM Designer- Plastic Product Including Toys,./utils/embeddings/PMKVY_JobRoles/data/CAD- CAM Designer- Plastic Product Including Toys.pt
CAD- CAM Designer- Plastic Product,./utils/embeddings/PMKVY_JobRoles/data/CAD- CAM Designer- Plastic Product.pt
Carbon Farming Practitioner,./utils/embeddings/PMKVY_JobRoles/data/Carbon Farming Practitioner.pt
Card Puncher (Automatic Machine),./utils/embeddings/PMKVY_JobRoles/data/Card Puncher (Automatic Machine).pt
Carding Operator,./utils/embeddings/PMKVY_JobRoles/data/Carding Operator.pt
Career and Education Counsellor,./utils/embeddings/PMKVY_JobRoles/data/Career and Education Counsellor.pt
"Carpenter- Kitchen, Cabinets, and Beds, General Repairs and Maintenance","./utils/embeddings/PMKVY_JobRoles/data/Carpenter- Kitchen, Cabinets, and Beds, General Repairs and Maintenance.pt"
"Carpenter- Wooden Doors and Windows with Frames, General Repairs and Maintenance","./utils/embeddings/PMKVY_JobRoles/data/Carpenter- Wooden Doors and Windows with Frames, General Repairs and Maintenance.pt"
Carpet Weaver,./utils/embeddings/PMKVY_JobRoles/data/Carpet Weaver.pt
Carving Artisan,./utils/embeddings/PMKVY_JobRoles/data/Carving Artisan.pt
Casting Operator (Metal Handicrafts),./utils/embeddings/PMKVY_JobRoles/data/Casting Operator (Metal Handicrafts).pt
CCTV Installation Technician,./utils/embeddings/PMKVY_JobRoles/data/CCTV Installation Technician.pt
CCTV Supervisor,./utils/embeddings/PMKVY_JobRoles/data/CCTV Supervisor.pt
CCTV Video Footage Auditor,./utils/embeddings/PMKVY_JobRoles/data/CCTV Video Footage Auditor.pt
Ceramics and Teracotta Toy Maker-,./utils/embeddings/PMKVY_JobRoles/data/Ceramics and Teracotta Toy Maker-.pt
Character designer,./utils/embeddings/PMKVY_JobRoles/data/Character designer.pt
"Chemist - Production (Pharma, Cosmetics & Biologics)- API - Excipient Manufacturing","./utils/embeddings/PMKVY_JobRoles/data/Chemist - Production (Pharma, Cosmetics & Biologics)- API - Excipient Manufacturing.pt"
Chemist - Retail Pharmacy- Regulated Business Operations,./utils/embeddings/PMKVY_JobRoles/data/Chemist - Retail Pharmacy- Regulated Business Operations.pt
"Chemist Store (Pharma, Biological Products and Medical Devices)","./utils/embeddings/PMKVY_JobRoles/data/Chemist Store (Pharma, Biological Products and Medical Devices).pt"
Chick Sexing and Grading Technician,./utils/embeddings/PMKVY_JobRoles/data/Chick Sexing and Grading Technician.pt
Chilling Plant Technician,./utils/embeddings/PMKVY_JobRoles/data/Chilling Plant Technician.pt
Circular loom operator (Shuttle type),./utils/embeddings/PMKVY_JobRoles/data/Circular loom operator (Shuttle type).pt
Clearance Support Agent,./utils/embeddings/PMKVY_JobRoles/data/Clearance Support Agent.pt
Clinical Data Validation and Quality Control,./utils/embeddings/PMKVY_JobRoles/data/Clinical Data Validation and Quality Control.pt
Cloud Administrator,./utils/embeddings/PMKVY_JobRoles/data/Cloud Administrator.pt
Cloud Application Developer,./utils/embeddings/PMKVY_JobRoles/data/Cloud Application Developer.pt
Cloud Architect,./utils/embeddings/PMKVY_JobRoles/data/Cloud Architect.pt
Cloud Computing – Jr. Analyst,./utils/embeddings/PMKVY_JobRoles/data/Cloud Computing – Jr. Analyst.pt
Cloud Consultant,./utils/embeddings/PMKVY_JobRoles/data/Cloud Consultant.pt
Cloud Infrastructure analyst,./utils/embeddings/PMKVY_JobRoles/data/Cloud Infrastructure analyst.pt
Cloud Risk and Compliance Officer,./utils/embeddings/PMKVY_JobRoles/data/Cloud Risk and Compliance Officer.pt
Cloud Security Analyst,./utils/embeddings/PMKVY_JobRoles/data/Cloud Security Analyst.pt
CMS Engineer - Wind Power Plant,./utils/embeddings/PMKVY_JobRoles/data/CMS Engineer - Wind Power Plant.pt
CNC Operator Vertical Machining Center,./utils/embeddings/PMKVY_JobRoles/data/CNC Operator Vertical Machining Center.pt
CNC Programmer,./utils/embeddings/PMKVY_JobRoles/data/CNC Programmer.pt
Coconut Grower cum Primary Processor,./utils/embeddings/PMKVY_JobRoles/data/Coconut Grower cum Primary Processor.pt
Cocoon tester cum purchaser- Textile MSME,./utils/embeddings/PMKVY_JobRoles/data/Cocoon tester cum purchaser- Textile MSME.pt
Coffee Plantation Worker,./utils/embeddings/PMKVY_JobRoles/data/Coffee Plantation Worker.pt
Cold Storage Technician,./utils/embeddings/PMKVY_JobRoles/data/Cold Storage Technician.pt
Combing Operator,./utils/embeddings/PMKVY_JobRoles/data/Combing Operator.pt
Combing Preparatory Operator,./utils/embeddings/PMKVY_JobRoles/data/Combing Preparatory Operator.pt
Commis Electives- Pastry-Bakery Commis,./utils/embeddings/PMKVY_JobRoles/data/Commis Electives- Pastry-Bakery Commis.pt
Community Journalist,./utils/embeddings/PMKVY_JobRoles/data/Community Journalist.pt
Compactor Operator,./utils/embeddings/PMKVY_JobRoles/data/Compactor Operator.pt
Compositor,./utils/embeddings/PMKVY_JobRoles/data/Compositor.pt
Compressor Operator,./utils/embeddings/PMKVY_JobRoles/data/Compressor Operator.pt
Concrete Pump Operator,./utils/embeddings/PMKVY_JobRoles/data/Concrete Pump Operator.pt
Cone Winder-cum-Pirn Winder,./utils/embeddings/PMKVY_JobRoles/data/Cone Winder-cum-Pirn Winder.pt
Cone Winding Operator-Manual & Assembly Winding,./utils/embeddings/PMKVY_JobRoles/data/Cone Winding Operator-Manual & Assembly Winding.pt
Consignment Booking Assistant,./utils/embeddings/PMKVY_JobRoles/data/Consignment Booking Assistant.pt
Consignment Tracking Executive,./utils/embeddings/PMKVY_JobRoles/data/Consignment Tracking Executive.pt
Construction Electrician-LV,./utils/embeddings/PMKVY_JobRoles/data/Construction Electrician-LV.pt
Construction Painter & Decorator,./utils/embeddings/PMKVY_JobRoles/data/Construction Painter & Decorator.pt
Construction Technician-Wind Power Plant,./utils/embeddings/PMKVY_JobRoles/data/Construction Technician-Wind Power Plant.pt
Consultant Network Security,./utils/embeddings/PMKVY_JobRoles/data/Consultant Network Security.pt
Consumer Energy Meter Technician,./utils/embeddings/PMKVY_JobRoles/data/Consumer Energy Meter Technician.pt
Core Blockchain Developer,./utils/embeddings/PMKVY_JobRoles/data/Core Blockchain Developer.pt
Correspondent,./utils/embeddings/PMKVY_JobRoles/data/Correspondent.pt
Cottage Cheese Maker,./utils/embeddings/PMKVY_JobRoles/data/Cottage Cheese Maker.pt
Cotton Cultivator,./utils/embeddings/PMKVY_JobRoles/data/Cotton Cultivator.pt
Counter Sales Executive- Tourism & Hospitality,./utils/embeddings/PMKVY_JobRoles/data/Counter Sales Executive- Tourism & Hospitality.pt
Courier Delivery Executive,./utils/embeddings/PMKVY_JobRoles/data/Courier Delivery Executive.pt
Course on Computer Concepts,./utils/embeddings/PMKVY_JobRoles/data/Course on Computer Concepts.pt
Craft Baker(v3),./utils/embeddings/PMKVY_JobRoles/data/Craft Baker(v3).pt
Crawler Crane Operator,./utils/embeddings/PMKVY_JobRoles/data/Crawler Crane Operator.pt
Credit Processing Officer,./utils/embeddings/PMKVY_JobRoles/data/Credit Processing Officer.pt
Crochet Lace Tailor,./utils/embeddings/PMKVY_JobRoles/data/Crochet Lace Tailor.pt
Customer care Executive Non Voice (Divyangjan)-LD,./utils/embeddings/PMKVY_JobRoles/data/Customer care Executive Non Voice (Divyangjan)-LD.pt
Customer Care Executive-Domestic- Non- Voice,./utils/embeddings/PMKVY_JobRoles/data/Customer Care Executive-Domestic- Non- Voice.pt
Customer Care Executive-Domestic- Voice,./utils/embeddings/PMKVY_JobRoles/data/Customer Care Executive-Domestic- Voice.pt
Customer Care Executive,./utils/embeddings/PMKVY_JobRoles/data/Customer Care Executive.pt
Customer Service Executive - Elective 1 (Meet and Greet officer),./utils/embeddings/PMKVY_JobRoles/data/Customer Service Executive - Elective 1 (Meet and Greet officer).pt
Cutter - Goods and Garments,./utils/embeddings/PMKVY_JobRoles/data/Cutter - Goods and Garments.pt
Cutter- Footwear,./utils/embeddings/PMKVY_JobRoles/data/Cutter- Footwear.pt
Cyber Security Assistant,./utils/embeddings/PMKVY_JobRoles/data/Cyber Security Assistant.pt
Cyber Security Associate,./utils/embeddings/PMKVY_JobRoles/data/Cyber Security Associate.pt
Dairy Farmer-Entrepreneur,./utils/embeddings/PMKVY_JobRoles/data/Dairy Farmer-Entrepreneur.pt
Dancer,./utils/embeddings/PMKVY_JobRoles/data/Dancer.pt
DAS Set Top Box Installation & Service Technician,./utils/embeddings/PMKVY_JobRoles/data/DAS Set Top Box Installation & Service Technician.pt
Data Annotator,./utils/embeddings/PMKVY_JobRoles/data/Data Annotator.pt
Data Entry Operator (Divyangjan)-LD,./utils/embeddings/PMKVY_JobRoles/data/Data Entry Operator (Divyangjan)-LD.pt
Data Feeder – Warehouse,./utils/embeddings/PMKVY_JobRoles/data/Data Feeder – Warehouse.pt
DCS Programmer and Troubleshooter,./utils/embeddings/PMKVY_JobRoles/data/DCS Programmer and Troubleshooter.pt
Debt Recovery Agent,./utils/embeddings/PMKVY_JobRoles/data/Debt Recovery Agent.pt
Designer Plastic Products including toys,./utils/embeddings/PMKVY_JobRoles/data/Designer Plastic Products including toys.pt
